Scrip Code,COMPANY,ISIN No.,Close Price
542772,360 ONE WAM LIMITED,INE466L01038,1101.3
523395,3M INDIA LTD.,INE470A01017,35516
544176,Aadhar Housing Finance Limited,INE883F01010,494.85
524208,AARTI INDUSTRIES LTD.,INE769A01020,477.35
541988,AAVAS Financiers Limited,INE216P01012,1379.55
500002,ABB INDIA LIMITED,INE117A01022,7369.7
500488,ABBOTT INDIA LTD.,INE358A01014,28003.45
500410,ACC LTD.,INE012A01025,1339.2
544283,ACME Solar Holdings Limited,INE622W01025,366.05
532762,ACTION CONSTRUCTION EQUIPMENT,INE731H01025,1040.15
543349,ACUTAAS CHEMICALS LIMITED,INE00FF01025,3257.15
539254,Adani Energy Solutions Limited,INE931S01010,1703.05
512599,ADANI ENTERPRISES LTD.,INE423A01024,3027.15
541450,Adani Green Energy Limited,INE364U01010,1394.25
532921,ADANI PORTS AND SPECIAL ECONOM,INE742F01042,1768.1
533096,ADANI POWER LTD.,INE814H01029,213.65
542066,ADANI TOTAL GAS LIMITED,INE399L01023,653.2
540691,Aditya Birla Capital Ltd,INE674K01013,394.2
535755,Aditya Birla Fashion and Retai,INE647O01011,56.3
544403,Aditya Birla Lifestyle Brands,INE14LE01019,94.09
500040,ADITYA BIRLA REAL ESTATE LIMIT,INE055A01016,1374
543374,Aditya Birla Sun Life AMC Limi,INE404A01024,1016.9
544466,Aditya Infotech Limited,INE819V01029,3535.15
500003,AEGIS LOGISTICS LTD.,INE208C01025,1349.4
544407,AEGIS VOPAK TERMINALS LIMITED,INE0INX01018,293.05
543534,Aether Industries Limited,INE0BWX01014,1428.15
544280,Afcons Infrastructure Limited,INE101I01011,285.95
542752,AFFLE 3I LIMITED,INE00WC01027,1444.35
532683,AIA ENGINEERING LTD.,INE212H01026,4584.8
532331,AJANTA PHARMA LTD.,INE031B01049,3366.45
539523,Alkem Laboratories Limited,INE540L01014,5635.6
544203,Allied Blenders and Distillers,INE552Z01027,619.7
521070,ALOK INDUSTRIES LTD.,INE270A01029,12.08
500008,Amara Raja Energy & Mobility L,INE885A01032,872.9
540902,Amber Enterprises India Limite,INE371P01015,7260.75
500425,AMBUJA CEMENTS LTD.,INE079A01024,424.95
543415,Anand Rathi Wealth Limited,INE463V01026,2041.8
515055,ANANT RAJ LIMITED,INE242C01024,587.55
543235,ANGEL ONE LIMITED,INE732I01021,308
544449,Anthem Biosciences Limited,INE0CZ201020,769.9
532259,APAR INDUSTRIES LTD.,INE372A01015,13855.4
533758,APL APOLLO TUBES LTD.,INE702C01027,1825.7
508869,APOLLO HOSPITALS ENTERPRISE LT,INE437A01024,8804.3
500877,APOLLO TYRES LTD.,INE438A01022,419.45
