isin,company_id,name,eps,roce,roe
INE002A01018,2726,Reliance Industries,55.19,10.26,0.0891
INE397D01024,467,Bharti Airtel,44.37,17.56,0.19358999
INE040A01034,1298,HDFC Bank,45.79,7.02,0.13838
INE090A01021,1384,ICICI Bank,77.37,7.18,0.16073999
INE062A01020,3188,SBI,91.13,6.13,0.15477
INE467B01029,3365,TCS,137.68,63.03,0.47743
INE296A01032,372,Bajaj Finance,32.52,10.87,0.182
INE018A01030,1870,Larsen & Toubro,120.53,14.57,0.159
INE0J1Y01017,1275221,Life Insurance,45.4,35.14,0.40769002
INE030A01027,1350,Hind. Unilever,44.97,28.42,0.31
INE044A01036,3245,Sun Pharma.Inds.,47.83,20.53,0.1472
INE009A01021,1489,Infosys,77.52,39.95,0.32
INE585B01010,2023,Maruti Suzuki,454.02,19.02,0.14400000000000002
INE280A01028,3437,Titan Company,57.04,20.54,0.37127998
INE101A01026,1973,M & M,164.49,15.10,0.203
INE814H01029,58,Adani Power,7.4,17.22,0.21100000000000002
INE423A01024,56,Adani Enterp.,57.48,5.80,-0.0338
INE742F01042,57,Adani Ports,58.53,14.12,0.16399999999999998
INE237A01036,1818,Kotak Mah. Bank,20.41,6.98,0.114
INE238A01034,348,Axis Bank,88.89,6.24,0.13352999
INE860A01027,1297,HCL Technologies,64.25,30.40,0.24067
INE154A01025,1552,ITC,15.85,38.91,0.2934
INE481G01011,3525,UltraTech Cem.,291.62,12.66,0.111
INE733E01010,2303,NTPC,32.71,8.33,0.14
INE918I01026,373,Bajaj Finserv,63.11,10.58,0.132
INE917I01010,369,Bajaj Auto,420.5,28.24,0.292
INE066F01020,1274307,Hind.Aeronautics,136.14,31.96,0.23979001
INE019A01038,1657,JSW Steel,101.35,10.96,0.102
INE213A01029,2320,O N G C,32.94,14.15,0.12703
INE758T01015,1274894,Eternal,0.45,2.48,0.0038
INE239A01024,2236,Nestle India,19.78,84.14,0.742
INE263A01024,456,Bharat Electron,8.42,36.53,0.276
INE752E01010,2523,Power Grid Corpn,20.1,9.74,0.16492
INE021A01026,295,Asian Paints,49.73,26.34,0.218
INE192R01011,1273670,Avenue Super.,47.44,17.18,0.129
INE522F01014,681,Coal India,50.57,35.34,0.285
INE721A01047,3046,Shriram Finance,56.63,11.49,0.18495001
INE081A01020,3373,Tata Steel,8.84,12.52,0.11699999999999999
INE267A01025,1351,Hindustan Zinc,40.39,69.25,0.7659999999999999
INE364U01010,1274366,Adani Green,10.37,7.39,0.114
INE038A01020,1328,Hindalco Inds.,60.22,13.21,0.10288
INE066A01021,888,Eicher Motors,209.94,30.53,0.24
INE361B01024,837,Divi's Lab.,96.67,21.97,0.16187
INE047A01021,1198,Grasim Inds,73.18,8.01,0.06287
INE494B01023,3502,TVS Motor Co.,72.03,17.37,0.336
INE646L01027,1273121,Interglobe Aviat,-124.1,5.24,-0.271
INE242A01010,1448,I O C L,24.45,18.78,0.207
INE931S01010,1272969,Adani Energy Sol,24.35,9.65,0.0944
INE685A01028,3445,Torrent Pharma.,62.5,15.19,0.27399999999999997
INE123W01016,1274150,SBI Life Insuran,25.91,14.95,0.13703
INE075A01022,3763,Wipro,12.6,17.84,0.16128999
INE0V6F01027,1285116,Hyundai Motor I,60.84,38.42,0.299
INE758E01017,1284422,Jio Financial,3.18,1.86,0.011899999999999999
INE343H01029,3115,Solar Industries,189.43,38.08,0.31228
INE318A01026,2478,Pidilite Inds.,24.01,31.02,0.23523001
INE271C01023,841,DLF,17.8,6.32,0.10031
INE669C01036,100068,Tech Mahindra,57.8,23.12,0.175
INE1TAE01010,1285768,Tata Motors,8.21,35.90,0.26045
INE849A01020,3467,Trent,32.46,28.34,0.27126
INE775A01035,2132,Samvardh. Mothe.,3.66,13.43,0.10114
INE121A01024,648,Cholaman.Inv.&Fn,67.71,9.71,0.19399999999999998
INE976I01016,1285728,Tata Capital,12.83,8.58,0.124
INE117A01022,27,A B B,74.3,29.93,0.22399999999999998
INE346A01027,1285819,ICICI AMC,70.42,115.10,0.858
INE298A01020,744,Cummins India,84.99,39.50,0.29455
INE200M01039,1273562,Varun Beverages,10.0,19.71,0.16853
INE118H01025,1273635,BSE,60.16,59.99,0.36003
INE07Y701011,1274744,Hitachi Energy,222.01,29.02,0.21040002
INE257A01026,460,B H E L,7.0,9.14,0.0623
INE669E01016,1388,Vodafone Idea,3.21,-1.60,
INE134E01011,2522,Power Fin.Corpn.,78.5,9.71,0.20466
INE029A01011,462,B P C L,40.1,25.69,0.28800000000000003
INE455K01017,1274653,Polycab India,189.48,33.21,0.25549
INE067A01029,739,CG Power & Ind,7.94,26.71,0.205
INE003A01024,3061,Siemens,47.38,21.44,0.192
INE692A01016,3536,Union Bank (I),27.04,6.30,0.15798001
INE216A01030,553,Britannia Inds.,105.08,56.00,0.53314
INE160A01022,2600,Punjab Natl.Bank,19.22,6.13,0.14965999
INE214T01019,1273442,LTM,176.23,29.60,0.21966
INE437A01024,218,Apollo Hospitals,134.36,17.89,0.21503
INE118A01012,375,Bajaj Holdings,865.47,11.00,0.12624
INE028A01039,395,Bank of Baroda,35.13,5.63,0.113170005
INE414G01012,2168,Muthoot Finance,263.92,15.77,0.30406
INE155A01022,3370,Tata Motors PVeh,-4.42,2.73,-0.01118
INE670K01029,1274865,Lodha Developers,41.17,16.41,0.155
INE0HOQ01053,1285755,Billionbrains,3.95,37.32,0.28800000000000003
INE245A01021,3371,Tata Power Co.,12.07,10.53,0.102
INE323A01026,537,Bosch,928.52,21.54,0.19353001
INE129A01019,1074,GAIL (India),15.02,9.68,0.08688
INE795G01014,1274197,HDFC Life Insur.,9.16,10.30,0.108009994
INE059A01026,661,Cipla,41.69,15.49,0.11599999999999999
INE053F01010,1274825,I R F C,5.49,5.64,0.12812
INE281B01032,1902,Lloyds Metals,66.9,27.29,0.36945
INE1NPP01017,1285506,Siemens Ener.Ind,38.12,67.75,0.505
INE476A01022,579,Canara Bank,21.9,6.52,0.161
INE196A01026,2014,Marico,13.58,47.05,0.41393003
INE562A01011,1439,Indian Bank,94.89,6.32,0.16171
INE749A01030,1627,Jindal Steel,26.68,9.70,0.08220000000000001
INE010B01027,567,Zydus Lifesci.,50.59,21.14,0.18318
INE127D01025,1274395,HDFC AMC,68.53,42.88,0.32899999999999996
INE776C01039,1159,GMR Airports,0.13,11.65,0.0027
INE200A01026,150,GE Vernova T&D,47.99,76.43,0.55261004
INE674K01013,1274128,Aditya Birla Cap,15.44,8.72,0.12
INE326A01037,1924,Lupin,116.16,29.93,0.26907
INE854D01024,3555,United Spirits,23.74,26.39,0.214
INE102D01028,1164,Godrej Consumer,18.2,18.75,0.15099
INE158A01026,1308,Hero Motocorp,286.54,35.22,0.28027
INE079A01024,163,Ambuja Cements,17.85,5.61,0.0885
INE192A01025,3367,Tata Consumer,16.57,9.24,0.0735
INE027H01010,1274774,Max Healthcare,14.72,14.71,0.14333001
INE465A01025,458,Bharat Forge,22.66,12.61,0.11603
INE053A01029,1443,Indian Hotels Co,15.07,17.06,0.142
INE205A01025,2943,Vedanta,22.78,16.08,0.382
INE121J01017,244384,Indus Towers,26.99,19.48,0.18912001
INE634S01028,1284353,Mankind Pharma,49.39,13.53,0.131
INE121E01018,1655,JSW Energy,12.72,8.16,0.0751
INE324D01010,1285730,LG Electronics,24.89,32.23,0.24716
INE020B01018,2809,REC Ltd,60.75,9.71,0.2
INE947Q01028,1273603,Laurus Labs,20.16,17.76,0.183
INE956O01016,1285752,Lenskart Solut.,2.92,8.08,0.066539995
INE208A01029,281,Ashok Leyland,5.92,13.63,0.21639
INE881D01027,2344,Oracle Fin.Serv.,391.51,45.28,0.49897
INE249Z01020,1274794,Mazagon Dock,66.45,35.98,0.292
INE089A01031,852,Dr Reddy's Labs,39.72,13.04,0.088369995
INE388Y01029,1274992,FSN E-Commerce,0.7,17.20,0.14338
INE070A01015,2998,Shree Cement,450.75,10.27,0.0751
INE406A01037,325,Aurobindo Pharma,60.52,12.80,0.09932999
INE008A01015,1387,IDBI Bank,8.67,5.92,0.13874
INE171A01029,1002,Federal Bank,18.7,6.39,0.11599999999999999
INE262H01021,2458,Persistent Systems,119.86,34.36,0.26349002
INE982J01020,1275094,One 97,10.07,5.01,0.047
INE935N01020,1274137,Dixon Technolog.,341.39,41.97,0.37133
INE0VDM01015,1285799,Meesho,-2.61,-35.59,-0.423
INE094A01015,1348,H P C L,7.83,22.23,0.309
INE765G01017,1274145,ICICI Lombard,48.32,21.88,0.1463
INE343G01021,1284744,Bharti Hexacom,34.72,21.37,0.26466998
INE663F01032,1485,Info Edg.(India),22.39,5.43,0.045679998
INE176B01034,1288,Havells India,25.97,24.90,0.19
INE848E01016,2254,NHPC Ltd,2.77,5.73,0.09021
INE095A01012,1480,IndusInd Bank,16.99,5.68,0.013600000000000001
INE00H001014,1285142,Swiggy,-14.78,-24.08,-0.29100000000000004
INE949L01017,1274092,AU Small Finance,37.7,7.66,0.223
INE498L01015,1850,L&T Finance Ltd,12.67,8.40,0.11199999999999999
INE647A01010,3108,SRF,73.43,14.61,0.14300000000000002
INE377N01017,1285121,Waaree Energies,132.4,38.78,0.32799999999999996
INE591G01025,2262,Coforge,48.88,23.50,0.20600000000000002
INE0ONG01011,1285166,NTPC Green Ene.,0.62,3.53,0.0279
INE726G01019,1273517,ICICI Pru Life,11.65,10.14,0.12579
INE584A01023,2287,NMDC,8.47,27.58,0.23363
INE016A01026,757,Dabur India,11.0,20.28,0.17
INE274J01014,2322,Oil India,40.68,11.56,0.12743
INE298J01013,1274188,Nippon Life Ind.,25.23,43.80,0.345
INE417T01026,1275091,PB Fintech.,14.5,10.31,0.097440004
INE092T01019,1273113,IDFC First Bank,2.59,5.99,0.0378
INE880J01026,1284497,JSW Infrast,7.08,13.69,0.154
INE377Y01014,1284966,Bajaj Housing,3.23,8.85,0.12679
INE914M01019,1274286,Aster DM Quality,7.48,11.40,0.10067
INE399L01023,1274591,Adani Total Gas,5.73,15.09,0.14400000000000002
INE528G01035,3783,Yes Bank,1.2,5.98,0.074650005
INE061F01013,1040,Fortis Health.,13.8,13.45,0.11006
INE813H01021,3446,Torrent Power,47.91,13.66,0.13022
INE114A01011,3192,S A I L,10.34,7.79,0.0643
INE811K01011,2558,Prestige Estates,26.51,10.38,0.07752
INE376G01013,487,Biocon,2.81,3.61,0.011469999
INE540L01014,1273171,Alkem Lab,190.37,21.24,0.17557
INE745G01043,2156,Multi Comm. Exc.,52.23,71.37,0.37883
INE405E01023,2090,Uno Minda,20.78,19.65,0.19202
INE211B01039,2470,Phoenix Mills,36.73,12.83,0.11599999999999999
INE093I01010,2313,Oberoi Realty,72.38,17.28,0.146
INE040H01021,3305,Suzlon Energy,2.29,35.07,0.39366
INE565A01014,1449,I O B,2.99,6.07,0.16525999
INE139A01034,2203,Natl. Aluminium,33.43,39.59,0.294
INE513A01022,990,Schaeffler India,80.36,27.90,0.21645
INE484J01027,98066,Godrej Propert.,61.49,7.63,0.09969
INE303R01014,1274850,Kalyan Jewellers,13.05,20.52,0.24305001
INE935A01035,1144,Glenmark Pharma.,63.67,39.77,0.14069
INE018E01016,1274738,SBI Cards,23.9,10.10,0.147
INE084A01016,396,Bank of India,27.01,5.93,0.13697
INE481Y01014,1274184,General Insuranc,55.09,17.35,0.10686
INE169A01031,715,Coromandel Inter,62.21,22.05,0.16399999999999998
INE457A01014,397,Bank of Maha,9.79,6.03,0.22961001
INE463A01038,429,Berger Paints,9.68,21.55,0.17226
INE220G01021,1626,Jindal Stain.,38.73,19.30,0.17407
INE358A01014,28,Abbott India,736.7,44.80,0.34460998
INE944F01028,2620,Radico Khaitan,52.09,24.15,0.203
INE976G01028,1273471,RBL Bank,12.13,5.77,0.0546
INE372A01015,211,Apar Inds.,294.13,31.12,0.20199999999999999
INE473A01011,523,Linde India,64.38,18.23,0.13577
INE756I01012,1285509,HDB FINANC SER,33.43,9.09,0.147
INE259A01022,685,Colgate-Palmoliv,49.62,108.02,1.58
INE883A01011,2141,MRF,5722.39,15.73,0.12258001
INE774D01024,98567,M & M Fin. Serv.,23.47,8.72,0.12300000000000001
INE188A01015,1006,F A C T,-0.58,4.93,0.0161
INE974X01010,1274187,Tube Investments,32.76,17.14,0.09949999999999999
INE660A01013,3253,Sundaram Finance,194.09,9.44,0.14659001
INE180A01020,2035,Max Financial,2.42,2.87,0.01629
INE152A01029,3412,Thermax,52.53,13.94,0.106
INE338I01027,2133,Motil.Oswal.Fin.,32.2,12.66,0.155
INE628A01036,3554,UPL,22.3,10.11,0.05614
INE702C01027,214,APL Apollo Tubes,43.3,31.64,0.25314
INE01EA01019,1285185,Vishal Mega Mart,1.9,14.79,0.122
INE151A01013,3364,Tata Comm,33.2,14.63,0.326
INE0LEZ01016,1285444,Ather Energy,-13.99,-19.77,-0.33740002
INE09N301011,1274705,Gujarat Fluoroch,52.3,9.86,0.07547
INE073K01018,1274879,Sona BLW Precis.,11.16,15.11,0.113
INE787D01026,383,Balkrishna Inds,72.72,11.18,0.0966
INE878B01027,1744,KEI Industries,95.98,20.07,0.14753
INE531E01026,1338,Hindustan Copper,9.49,42.40,0.30602
INE415G01027,1274649,Rail Vikas,4.19,10.80,0.08981
INE202B01038,799,Piramal Finance.,74.66,6.47,0.0086
INE0BS701011,1284943,Premier Energies,33.63,33.32,0.42333
INE466L01038,1274695,360 ONE,30.09,12.13,0.14400000000000002
INE171Z01026,1274300,Bharat Dynamics,11.53,13.84,0.1019
INE206F01022,1270863,Authum Invest,19.15,13.76,0.131
INE0CZ201020,1285544,Anthem Bioscienc,10.44,30.37,0.223
INE761H01022,2389,Page Industries,686.38,64.39,0.525
INE159A01016,1143,Glaxosmi. Pharma,61.07,61.41,0.49113
INE208C01025,84,Aegis Logistics,25.62,13.33,0.15258001
INE356A01018,2138,Mphasis,99.97,22.09,0.17743999
INE233A01035,1165,Godrej Industrie,36.79,8.17,0.10832
